id,original_sentence,transformed_sentence,relative_pronoun,number,model,size,model_and_size,N1,N2,exchanged_N2,masked_token,predicted_token,accuracy,was_position,were_position,was_position_interval,were_position_interval
381,The woman waters the box of the balcony which,The woman waters the flower of the cleaners which [MASK],which,singular,BERT,base,BERT-base,flower ,balcony,cleaner,was,was,1,18,135,4,5
382,The woman waters the plants of the roses  which,The woman waters the plant of the gardeners which [MASK],which,singular,BERT,base,BERT-base,plants,roses,gardener,was,was,1,16,68,4,5
383,The young girl favored the driver of the player who,The young girl favored the driver of the motorbikes who [MASK],who,singular,BERT,base,BERT-base,driver,player,motorbikes,was,was,1,9,24,2,5
384,The young girl favored the player of the driver who,The young girl favored the player of the teams who [MASK],who,singular,BERT,base,BERT-base,player,driver,team,was,was,1,12,14,3,3
385,The young man noticed the singers of the guitarists who,The young man noticed the singer of the songs who [MASK],who,singular,BERT,base,BERT-base,singers,guitarists,songs,was,was,1,13,44,3,5
386,This afternoon I have seen the nurse of the doctor who,This afternoon I have seen the nurse of the hospitals who [MASK],who,singular,BERT,base,BERT-base,nurse,doctor,hospital,was,was,1,14,17,3,4
387,This afternoon I saw the nurse of the doctor who,This afternoon I saw the nurse of the hospitals who [MASK],who,singular,BERT,base,BERT-base,nurse,doctor,hospital,was,was,1,10,16,2,4
388,This afternoon I saw the son of the doctor who,This afternoon I saw the son of the houses who [MASK],who,singular,BERT,base,BERT-base,son,doctor,house,was,was,1,11,14,3,3
389,This morning I met the aunt of the mechanic who,This morning I met the aunt of the houses who [MASK],who,singular,BERT,base,BERT-base,aunt,mechanic,house,was,was,1,9,16,2,4
390,Tina knows the doctors of the supermodel who,Tina knows the doctor of the hospitals who [MASK],who,singular,BERT,base,BERT-base,doctors,supermodel,hospital,was,was,1,25,130,5,5
391,Tina met the gardeners of the millionaire who,Tina met the gardener of the gardens who [MASK],who,singular,BERT,base,BERT-base,gardeners,millionaire,garden,was,was,1,9,31,2,5
392,Tomorrow I have a date with the advisor of the attorney who,Tomorrow I have a date with the advisor of the offices who [MASK],who,singular,BERT,base,BERT-base,advisor,attorney,office,was,was,1,25,44,5,5
393,Tracy chatted with the bodyguards of the celebrity who,Tracy chatted with the bodyguard of the palaces who [MASK],who,singular,BERT,base,BERT-base,bodyguards,celebrity,palace,was,were,0,14,13,3,3
394,We borrowed the car of the neighbor which   ,We borrowed the car of the drivers which [MASK],which,singular,BERT,base,BERT-base,car,neighbor,driver,was,was,1,10,14,2,3
395,We have to paint the handlebar of the bicycle which,We have to paint the handlebar of the drivers which [MASK],which,singular,BERT,base,BERT-base,handlebar,bicycle,driver,was,was,1,36,53,5,5
396,We were worried about the grandmother of the babysitter who,We were worried about the grandmother of the houses who [MASK],who,singular,BERT,base,BERT-base,grandmother,babysitter,house,was,were,0,13,11,3,3
397,Yesterday I dropped the tray of the perfume which,Yesterday I dropped the tray of the cooks which [MASK],which,singular,BERT,base,BERT-base,tray,perfume,cook,was,was,1,10,13,2,3
398,Yesterday I met the friend of the councillor who,Yesterday I met the friend of the houses who [MASK],who,singular,BERT,base,BERT-base,friend,councillor,house,was,was,1,9,46,2,5
399,Yesterday I met with the girlfriend of the councillor who,Yesterday I met with the girlfriend of the weddings who [MASK],who,singular,BERT,base,BERT-base,girlfriend,councillor,wedding,was,was,1,13,29,3,5
400,Yesterday I saw the consultant of the director who,Yesterday I saw the consultant of the companies who [MASK],who,singular,BERT,base,BERT-base,consultant,director,company,was,were,0,28,12,5,3
401,Zack recognized the daughter of the shopkeepers who,Zack recognized the daughter of the houses who [MASK],who,singular,BERT,base,BERT-base,daughter,shopkeepers,house,was,was,1,10,15,2,3
0,A client looked at the clerk of the solicitor who,A client looked at the clerks of the office who [MASK],who,plural,BERT,base,BERT-base,clerk,solicitor,office,were,were,1,13,10,3,2
1,A client noticed the hairdresser of the actress who,A client noticed the hairdressers of the salon who [MASK],who,plural,BERT,base,BERT-base,hairdresser,actress,salon,were,were,1,13,9,3,2
2,A customer frowned at the assistant of the pharmacist who,A customer frowned at the assistants of the laboratory who [MASK],who,plural,BERT,base,BERT-base,assistant,pharmacist,laboratory,were,were,1,13,9,3,2
3,A fan looked at the guitarist of the singer who,A fan looked at the guitarists of the band who [MASK],who,plural,BERT,base,BERT-base,guitarist,singer,band,were,were,1,17,11,4,3
4,A man asked for the apprentice of the builder who,A man asked for the apprentices of the college who [MASK],who,plural,BERT,base,BERT-base,apprentice,builder,college,were,were,1,23,8,5,2
5,A man called to the guide of the traveler who,A man called to the guides of the book who [MASK],who,plural,BERT,base,BERT-base,guide,traveler,book,were,was,0,7,12,2,3
6,A man observed the barrister of the criminal who,A man observed the barristers of the office who [MASK],who,plural,BERT,base,BERT-base,barrister,criminal,office,were,were,1,14,6,3,2
7,A nurse smiled at the psychiatrist of the patient who,A nurse smiled at the psychiatrists of the hospital who [MASK],who,plural,BERT,base,BERT-base,psychiatrist,patient,hospital,were,were,1,15,9,3,2
8,A registered letter came for the landlord of the businessman who,A registered letter came for the landlords of the house who [MASK],who,plural,BERT,base,BERT-base,landlord,businessman,house,were,were,1,27,7,5,2
9,A reporter interviewed the bodyguard of the prince who,A reporter interviewed the bodyguards of the palace who [MASK],who,plural,BERT,base,BERT-base,bodyguard,prince,palace,were,were,1,14,7,3,2
10,A strange woman called to the travelers of the guides who,A strange woman called to the travelers of the hotel who [MASK],who,plural,BERT,base,BERT-base,travelers,guides,hotel,were,were,1,16,8,4,2
11,A student stared at the friend of the lawyer who,A student stared at the friends of the house who [MASK],who,plural,BERT,base,BERT-base,friend,lawyer,house,were,were,1,12,10,3,2
13,A student stared at the secretary of the teacher who,A student stared at the secretaries of the office who [MASK],who,plural,BERT,base,BERT-base,secretary,teacher,office,were,was,0,8,11,2,3
14,A thief was keeping an eye on the case of the tourist which   ,A thief was keeping an eye on the cases of the defendant which [MASK],which,plural,BERT,base,BERT-base,case,tourist,defendant,were,was,0,7,15,2,3
15,A woman caught the attention of the publicist of the writer who,A woman caught the attention of the publicists of the city who [MASK],who,plural,BERT,base,BERT-base,publicist,writer,city,were,were,1,23,13,5,3
16,Adam resembled the representative of the employees who,Adam resembled the representatives of the conference who [MASK],who,plural,BERT,base,BERT-base,representative,employees,conference,were,were,1,13,9,3,2
17,Alan punished the accountant of the businessmen who,Alan punished the accountants of the company who [MASK],who,plural,BERT,base,BERT-base,accountant,businessmen,company,were,were,1,31,7,5,2
18,Alan saw the accountant of the businessmen who,Alan saw the accountants of the company who [MASK],who,plural,BERT,base,BERT-base,accountant,businessmen,company,were,were,1,15,9,3,2
19,Alice lives next to the surgeon of the soldiers who,Alice lives next to the surgeons of the hospital who [MASK],who,plural,BERT,base,BERT-base,surgeon,soldiers,hospital,were,were,1,197,45,5,5
20,All of our friends liked the uncle of the student who,All of our friends liked the uncles of the palace who [MASK],who,plural,BERT,base,BERT-base,uncle,student,palace,were,was,0,10,13,2,3
21,All the newspapers published the photograph of the boy which   ,All the newspapers published the photographs of the painter which [MASK],which,plural,BERT,base,BERT-base,photograph,boy,painter,were,was,0,9,11,2,3
22,Alvaro was spying on the dog of the farmer which   ,Alvaro was spying on the dogs of the boy which [MASK],which,plural,BERT,base,BERT-base,dog,farmer,boy,were,was,0,9,16,2,4
23,Amelia photographed the bride of the princess who,Amelia photographed the brides of the wedding who [MASK],who,plural,BERT,base,BERT-base,bride,princess,wedding,were,were,1,16,11,4,3
24,Amelia was photographed with the girlfriend of the singer who,Amelia was photographed with the girlfriends of the wedding who [MASK],who,plural,BERT,base,BERT-base,girlfriend,singer,wedding,were,were,1,26,11,5,3
25,Amilia exchanges letters with the cousin of the singer who,Amilia exchanges letters with the cousins of the inheritence who [MASK],who,plural,BERT,base,BERT-base,cousin,singer,inheritence ,were,were,1,209,16,5,4
26,An armed robber shot the maid of the actress who,An armed robber shot the maids of the dresser who [MASK],who,plural,BERT,base,BERT-base,maid,actress,dresser,were,was,0,11,14,3,3
27,Andre had dinner with the niece of the porter who,Andre had dinner with the writers of the poem who [MASK],who,plural,BERT,base,BERT-base,writer,porter,poem,were,were,1,18,12,4,3
28,Andres had dinner with the niece of the doorman who,Andres was eating dinner with the writers of the poem who [MASK],who,plural,BERT,base,BERT-base,writer,doorman,poem,were,were,1,15,12,3,3
29,Andrew had dinner yesterday with the nephew of the teachers who,Andrew had dinner yesterday with the nephews of the palace who [MASK],who,plural,BERT,base,BERT-base,nephew,teachers,palace,were,were,1,16,8,4,2
30,Andrew had dinner yesterday with the niece of the porter who,Andrew ate yesterday with the writers of the poem who [MASK],who,plural,BERT,base,BERT-base,writer,porter,poem,were,were,1,23,12,5,3
31,Andrew was speaking with the niece of the cleaner who,Andrew was speaking with the writers of the poem who [MASK],who,plural,BERT,base,BERT-base,writer,cleaner,poem,were,were,1,13,11,3,3
32,Angela gossiped with the secretary of the lawyers who,Angela gossiped with the secretaries of the office who [MASK],who,plural,BERT,base,BERT-base,secretary,lawyers,office,were,were,1,14,9,3,2
33,Anna studied with the chef of the aristocrats who,Anna studied with the chefs of the office who [MASK],who,plural,BERT,base,BERT-base,chef,aristocrats,office,were,was,0,9,14,2,3
34,Ben interviewed the companion of the basketball player who,Ben interviewed the companions of the company who [MASK],who,plural,BERT,base,BERT-base,companion,player,company,were,were,1,15,12,3,3
35,Beth babysits the children of the musician who,Beth babysits the children of the school who [MASK],who,plural,BERT,base,BERT-base,children,musician,school,were,were,1,0,20,5,4
36,Bill congratulated the teacher of the secondgraders who,Bill congratulated the teachers of the school who [MASK],who,plural,BERT,base,BERT-base,teacher,secondgraders,school,were,were,1,38,12,5,3
37,Bill visited the teacher of the secondgraders who,Bill visited the teachers of the school who [MASK],who,plural,BERT,base,BERT-base,teacher,secondgraders,school,were,were,1,22,6,5,2
38,Billy threw away his chance to become the assistant of the tailor who,Billy threw away his chance to become the assistants of the laboratory who [MASK],who,plural,BERT,base,BERT-base,assistant,tailor,laboratory,were,was,0,16,38,4,5
39,Birds wo n't be able to nest in the branch of the tree which,Birds wo n't be able to nest in the gardens of the superintendent which [MASK],which,plural,BERT,base,BERT-base,garden,tree,superintendent,were,was,0,19,52,4,5
40,Bob greeted the leader of the activists who,Bob greeted the leaders of the party who [MASK],who,plural,BERT,base,BERT-base,leader,activists,party,were,were,1,21,10,5,2
41,Brian visited the associates of the businessman who,Brian visited the associates of the laboratory who [MASK],who,plural,BERT,base,BERT-base,associates,businessman,laboratory,were,were,1,14,9,3,2
42,Candice talked to the leader of the activists who,Candice talked to the leaders of the party who [MASK],who,plural,BERT,base,BERT-base,leader,activists,party,were,were,1,27,7,5,2
43,Carl works with the agent of the rockstars who,Carl works with the agents of the company who [MASK],who,plural,BERT,base,BERT-base,agent,rockstars,company,were,were,1,367,12,5,3
44,Casey looks like the father of the students who,Casey looks like the fathers of the house who [MASK],who,plural,BERT,base,BERT-base,father,students,house,were,was,0,25,58,5,5
45,Charles liked the portrait of the woman which   ,Charles liked the portraits of the painter which [MASK],which,plural,BERT,base,BERT-base,portrait,woman,painter,were,were,1,15,10,3,2
46,Charlie met the interpreter of the ambassador who,Charlie met the interpreters of the laboratory who [MASK],who,plural,BERT,base,BERT-base,interpreter,ambassador,laboratory,were,were,1,21,10,5,2
47,Craig inspected the servants of the dictator who,Craig inspected the servants of the house who [MASK],who,plural,BERT,base,BERT-base,servants,dictator,house,were,were,1,17,9,4,2
48,During the meeting the chief of protocol tried to talk to the translator of the ambassador who,During the meeting the chiefs of protocol tried to talk to the translators of the city who [MASK],who,plural,BERT,base,BERT-base,chieftranslator,ambassador,city,were,were,1,17,9,4,2
49,Emily angered the brother of the visitor who,Emily angered the brothers of the house who [MASK],who,plural,BERT,base,BERT-base,brother,visitor,house,were,were,1,106,16,5,4
50,Emily waited with the nieces of the florist who,Emily waited with the writers of the poem who [MASK],who,plural,BERT,base,BERT-base,writer,florist,poems,were,was,0,10,13,2,3
51,Everybody ignored the stepfather of the monk who,Everybody ignored the stepfathers of the house who [MASK],who,plural,BERT,base,BERT-base,stepfather,monk,house,were,were,1,14,12,3,3
52,Everybody in the office felt sorry about the death of the nephew of the director who,Everybody in the office felt sorry about the deaths of the nephews of the inheritence who [MASK],who,plural,BERT,base,BERT-base,deathnephew,director,inheritence ,were,were,1,17,8,4,2
53,Everyone knows the agent of the author who,Everyone knows the agents of the company who [MASK],who,plural,BERT,base,BERT-base,agent,author,company,were,were,1,32,16,5,4
54,Frank complimented the guests of the bride who,Frank complimented the guests of the hotel who [MASK],who,plural,BERT,base,BERT-base,guests,bride,hotel,were,were,1,22,10,5,2
55,Frank met the guests of the bride who,Frank met the guests of the hotel who [MASK],who,plural,BERT,base,BERT-base,guests,bride,hotel,were,were,1,22,10,5,2
56,Frank talked to the servants of the dictator who,Frank talked to the servants of the house who [MASK],who,plural,BERT,base,BERT-base,servants,dictator,house,were,were,1,19,8,4,2
57,Friends liked the uncle of the surgeon who,Friends liked the uncles of the palace who [MASK],who,plural,BERT,base,BERT-base,uncle,surgeon,palace,were,was,0,9,12,2,3
58,George interviewed the representative of the employees who,George interviewed the representatives of the conference who [MASK],who,plural,BERT,base,BERT-base,representative,employees,conference,were,were,1,16,7,4,2
59,George was stroking the cat of the girl which   ,George was stroking the cats of the boy which [MASK],which,plural,BERT,base,BERT-base,cat,girl,boy,were,was,0,8,13,2,3
60,Greg smiles at the secretaries of the lawyer who,Greg smiles at the secretaries of the office who [MASK],who,plural,BERT,base,BERT-base,secretaries,lawyer,office,were,were,1,155,29,5,5
61,I had to borrow the computer of the secretary which   ,I had to borrow the computers of the mechanic which [MASK],which,plural,BERT,base,BERT-base,computer,secretary,mechanic,were,was,0,8,19,2,4
62,I really liked the preface of the book which,I really liked the prefaces of the author which [MASK],which,plural,BERT,base,BERT-base,preface,book,author,were,were,1,13,11,3,3
63,I wanted to take the radio of the loudspeaker which,I wanted to take the radios of the host which [MASK],which,plural,BERT,base,BERT-base,radio,loudspeaker,host,were,was,0,8,17,2,4
64,I was surprised by the etching of the sculpture which,I was surprised by the etchings of the painter which [MASK],which,plural,BERT,base,BERT-base,etching,sculpture,painter,were,was,0,11,14,3,3
65,I was talking to the apprentice of the tailor who,I was talking to the apprentices of the college who [MASK],who,plural,BERT,base,BERT-base,apprentice,tailor,college,were,were,1,15,11,3,3
66,I was told the masseur of the skater who,I was told the masseurs of the salon who [MASK],who,plural,BERT,base,BERT-base,masseur,skater,salon,were,were,1,13,12,3,3
67,I watched the fans of the singers who,I watched the fans of the club who [MASK],who,plural,BERT,base,BERT-base,fans,singers,club,were,were,1,13,11,3,3
68,In the meeting they showed us the label of the bottle which,In the meeting they showed us the labels of the artist which [MASK],which,plural,BERT,base,BERT-base,label,bottle,artists,were,was,0,9,11,2,3
69,It was agreed to move the computer of the screen which,It was agreed to move the computers of the mechanic which [MASK],which,plural,BERT,base,BERT-base,computer,screen,mechanic,were,was,0,9,20,2,4
70,Ivana met the son of the delegates who,Ivana met the sons of the house who [MASK],who,plural,BERT,base,BERT-base,son,delegates,house,were,were,1,30,11,5,3
71,Janet worked as the chauffeur of the actor who,Janet worked as the chauffeurs of the limousine who [MASK],who,plural,BERT,base,BERT-base,chauffeur,actor,limousine,were,was,0,16,35,4,5
72,Jared noticed the friends of the athlete who,Jared noticed the friends of the wedding who [MASK],who,plural,BERT,base,BERT-base,friends,athlete,wedding,were,were,1,19,12,4,3
73,Jenny joked with the maid of the executives who,Jenny joked with the maids of the palace who [MASK],who,plural,BERT,base,BERT-base,maid,executives,palace,were,were,1,17,10,4,2
74,Jessica worked with the doctors of the supermodel who,Jessica worked with the doctors of the hospital who [MASK],who,plural,BERT,base,BERT-base,doctors,supermodel,hospital,were,was,0,11,12,3,3
75,Jill started out as the consultant of the director who,Jill started out as the consultants of the company who [MASK],who,plural,BERT,base,BERT-base,consultant,director,company,were,was,0,14,19,3,4
76,Joe ran into the brothers of the athlete who,Joe ran into the brothers of the house who [MASK],who,plural,BERT,base,BERT-base,brothers,athlete,house,were,were,1,38,11,5,3
77,Joel hires the bodyguards of the celebrity who,Joel hires the bodyguards of the palace who [MASK],who,plural,BERT,base,BERT-base,bodyguards,celebrity,palace,were,were,1,0,16,5,4
78,John despised the chauffeur of the millionaire who,John despised the chauffeurs of the limousine who [MASK],who,plural,BERT,base,BERT-base,chauffeur,millionaire,limousine,were,were,1,16,10,4,2
79,John liked the mechanic of the officer who,John liked the mechanics of the factory who [MASK],who,plural,BERT,base,BERT-base,mechanic,officer,factory,were,were,1,11,9,3,2
80,John lived next to the teacher of the secondgraders who,John lived next to the teachers of the school who [MASK],who,plural,BERT,base,BERT-base,teacher,secondgraders,school,were,were,1,31,7,5,2
81,John met the friend of the teacher who,John met the friends of the house who [MASK],who,plural,BERT,base,BERT-base,friend,teacher,house,were,were,1,36,9,5,2
82,John smashed the car of the company which,John smashed the cars of the driver which [MASK],which,plural,BERT,base,BERT-base,car,company,driver,were,was,0,8,21,2,5
83,John was hired as the assistant of the inspector who,John was hired as the assistants of the laboratory who [MASK],who,plural,BERT,base,BERT-base,assistant,inspector,laboratory,were,were,1,16,11,4,3
84,Julia had spoken to the secretary of the lawyers who,Julia had spoken to the secretaries of the office who [MASK],who,plural,BERT,base,BERT-base,secretary,lawyers,office,were,was,0,11,13,3,3
85,Justin carpools with the cousins of the accountant who,Justin carpools with the cousins of the house who [MASK],who,plural,BERT,base,BERT-base,cousins,accountant,house,were,were,1,172,19,5,4
86,Kathy excelled as the secretary of the manager who,Kathy excelled as the secretaries of the office who [MASK],who,plural,BERT,base,BERT-base,secretary,manager,office,were,were,1,15,12,3,3
87,Ken videotaped the assistants of the CEO who,Ken videotaped the assistants of the laboratory who [MASK],who,plural,BERT,base,BERT-base,assistants,CEO,laboratory,were,were,1,22,10,5,2
88,Kevin counted the fans of the singer who,Kevin counted the fans of the club who [MASK],who,plural,BERT,base,BERT-base,fans,singer,club,were,were,1,17,8,4,2
89,Laura knows the manager of the cashiers who,Laura knows the managers of the team who [MASK],who,plural,BERT,base,BERT-base,manager,cashiers,team,were,were,1,97,12,5,3
90,Laura lost the notebook of the sticker which,Laura lost the notebooks of the guide which [MASK],which,plural,BERT,base,BERT-base,notebook,sticker,guides,were,was,0,10,14,2,3
91,Leslie is the translator of the ambassador who,Leslie is the translators of the book who [MASK],who,plural,BERT,base,BERT-base,translator,ambassador,book,were,was,0,17,221,4,5
92,Lewis ran over the carriage of the fruiterer which   ,Lewis ran over the carriages of the bridegroom which [MASK],which,plural,BERT,base,BERT-base,carriage,fruiterer,bridegroom,were,was,0,10,11,2,3
93,Lewis ran over the dog of the fruiterer which   ,Lewis ran over the dogs of the boy which [MASK],which,plural,BERT,base,BERT-base,dog,fruiterer,boy,were,was,0,8,14,2,3
94,Linda wrote to the the manager of the assistants who,Linda wrote to the the managers of the team who [MASK],who,plural,BERT,base,BERT-base,manager,assistants,team,were,were,1,18,8,4,2
95,Louise recognized the surgeon of the star who,Louise recognized the surgeons of the hospital who [MASK],who,plural,BERT,base,BERT-base,surgeon,star,hospital,were,were,1,14,11,3,3
96,Luis recognized the landlady of the actors who,Luis recognized the landladies of the house who [MASK],who,plural,BERT,base,BERT-base,landlady,actors,house,were,were,1,13,11,3,3
97,Marcie as happy as the nurse of the surgeon who,Marcie as happy as the nurses of the hospital who [MASK],who,plural,BERT,base,BERT-base,nurse,surgeon,hospital,were,were,1,86,14,5,3
98,Maria knows the assistant of the politician who,Maria knows the assistants of the laboratory who [MASK],who,plural,BERT,base,BERT-base,assistant,politician,laboratory,were,were,1,96,14,5,3
99,Maria loved the gardener of the executive who,Maria loved the gardeners of the garden who [MASK],who,plural,BERT,base,BERT-base,gardener,executive,garden,were,were,1,15,10,3,2
100,Marta was wearing the sunhat of the scarf which,Marta was wearing the sunhats of the delegate which [MASK],which,plural,BERT,base,BERT-base,sunhat,scarf,delegates,were,was,0,9,16,2,4
101,Martha cheered the brother of the priest who,Martha cheered the brothers of the house who [MASK],who,plural,BERT,base,BERT-base,brother,priest,house,were,were,1,21,10,5,2
102,Mary argued with the cousin of the milkman who,Mary argued with the cousins of the inheritence who [MASK],who,plural,BERT,base,BERT-base,cousin,milkman,inheritence ,were,were,1,16,10,4,2
103,Mary greeted the brother of the minister who,Mary greeted the brothers of the house who [MASK],who,plural,BERT,base,BERT-base,brother,minister,house,were,were,1,18,10,4,2
104,Mary replaced the wire of the amplifiers which,Mary replaced the wires of the mechanic which [MASK],which,plural,BERT,base,BERT-base,wire,amplifiers,mechanic,were,was,0,10,20,2,4
105,Mary went to the cinema with the son of the milkman who,Mary went to the cinema with the sons of the house who [MASK],who,plural,BERT,base,BERT-base,son,milkman,house,were,were,1,31,10,5,2
106,Melissa babysits the children of the musician who,Melissa babysits the children of the school who [MASK],who,plural,BERT,base,BERT-base,children,musician,school,were,were,1,0,17,5,4
107,Melissa dislikes the girls of the neighbor who,Melissa dislikes the girls of the school who [MASK],who,plural,BERT,base,BERT-base,girls,neighbor,school,were,were,1,122,14,5,3
108,Melissa watches the girls of the neighbor who,Melissa watches the girls of the school who [MASK],who,plural,BERT,base,BERT-base,girls,neighbor,school,were,were,1,135,16,5,4
109,Most of the patients liked the nurse of the surgeon who,Most of the patients liked the nurses of the hospital who [MASK],who,plural,BERT,base,BERT-base,nurse,surgeon,hospital,were,were,1,18,10,4,2
110,Mr. Johnson visited the servant of the actress who,Mr. Johnson visited the servants of the church who [MASK],who,plural,BERT,base,BERT-base,servant,actress,church,were,were,1,27,6,5,2
111,Mr. Miller ignored the student of the chemist who,Mr. Miller ignored the students of the university who [MASK],who,plural,BERT,base,BERT-base,student,chemist,university,were,were,1,25,10,5,2
112,My brother liked listening to the recording of the songs which,My brother liked listening to the recordings of the musician which [MASK],which,plural,BERT,base,BERT-base,recording,songs,musician,were,was,0,9,16,2,4
113,My farther visited the quarters of the soldiers which   ,My farther visited the quarters of the soldier which [MASK],which,plural,BERT,base,BERT-base,quarters,soldiers,soldiers,were,was,0,7,14,2,3
114,My friend met the aide of the detectives who,My friend met the aides of the office who [MASK],who,plural,BERT,base,BERT-base,aide,detectives,office,were,were,1,19,12,4,3
115,My mother argued with the maid of the duchess who,My mother argued with the maids of the palace who [MASK],who,plural,BERT,base,BERT-base,maid,duchess,palace,were,were,1,13,11,3,3
116,My mother argued with the servant of the duchess who,My mother argued with the servants of the church who [MASK],who,plural,BERT,base,BERT-base,servant,duchess,church,were,were,1,18,11,4,3
117,Nick stood near the captain of the sailors who,Nick stood near the captains of the team who [MASK],who,plural,BERT,base,BERT-base,captain,sailors,team,were,were,1,14,9,3,2
118,Nobody noticed the bodyguard of the ambassadors who,Nobody noticed the bodyguards of the palace who [MASK],who,plural,BERT,base,BERT-base,bodyguard,ambassadors,palace,were,were,1,13,8,3,2
119,On the shelf I keep the box of the cover which,On the shelf I keep the boxes of the cleaner which [MASK],which,plural,BERT,base,BERT-base,box,cover,cleaner,were,were,1,20,15,4,3
120,Patricia saw the the teacher of the students who,Patricia saw the the teachers of the school who [MASK],who,plural,BERT,base,BERT-base,teacher,students,school,were,were,1,17,9,4,2
121,Paul listens to the coach of the cheerleaders who,Paul listens to the coaches of the team who [MASK],who,plural,BERT,base,BERT-base,coach,cheerleaders,team,were,were,1,288,14,5,3
122,Peter had a good time with the sister of the girl who,Peter had a good time with the sisters of the house who [MASK],who,plural,BERT,base,BERT-base,sister,girl,house,were,were,1,16,10,4,2
123,Peter met the boyfriend of the host who,Peter met the boyfriends of the wedding who [MASK],who,plural,BERT,base,BERT-base,boyfriend,host,wedding,were,were,1,27,8,5,2
124,Peter met the friend of the teacher who,Peter met the friends of the house who [MASK],who,plural,BERT,base,BERT-base,friend,teacher,house,were,were,1,26,8,5,2
125,Peter was looking at the book of the girl which   ,Peter was looking at the books of the author which [MASK],which,plural,BERT,base,BERT-base,book,girl,author,were,was,0,7,11,2,3
126,Peter went to a concert yesterday with the mother of the countess who,Peter went to a concert yesterday with the mothers of the house who [MASK],who,plural,BERT,base,BERT-base,mother,countess,house,were,were,1,35,10,5,2
127,Rita failed as the advisor of the assistant who,Rita failed as the advisors of the office who [MASK],who,plural,BERT,base,BERT-base,advisor,assistant,office,were,was,0,13,22,3,5
128,Robert yelled at the friend of the artist who,Robert yelled at the friends of the neighborhood who [MASK],who,plural,BERT,base,BERT-base,friend,artist,neighborhood,were,were,1,17,10,4,2
129,Roxanne read the review of the poems which,Roxanne read the reviews of the guide which [MASK],which,plural,BERT,base,BERT-base,review,poems,guides,were,was,0,12,14,3,3
130,Ryan resembles the captain of the sailors who,Ryan resembles the captains of the team who [MASK],who,plural,BERT,base,BERT-base,captain,sailors,team,were,were,1,52,10,5,2
131,Samuel was not content as the masseur of the skater who,Samuel was not content as the masseurs of the salon who [MASK],who,plural,BERT,base,BERT-base,masseur,skater,salon,were,were,1,17,12,4,3
132,Sandra chatted with the gardeners of the millionaire who,Sandra chatted with the gardeners of the garden who [MASK],who,plural,BERT,base,BERT-base,gardeners,millionaire,garden,were,were,1,15,11,3,3
133,Sara did the painting of the cove which,Sara did the paintings of the painter which [MASK],which,plural,BERT,base,BERT-base,painting,cove,painter,were,was,0,12,17,3,4
134,Sarah jogs with the uncle of the toddlers who,Sarah jogs with the uncles of the palace who [MASK],who,plural,BERT,base,BERT-base,uncle,toddlers,palace,were,were,1,218,13,5,3
135,Scott counted the fans of the singer who,Scott counted the fans of the club who [MASK],who,plural,BERT,base,BERT-base,fans,singer,club,were,were,1,20,7,4,2
136,Several men moved the machines of the factories which,Several men moved the machines of the model which [MASK],which,plural,BERT,base,BERT-base,machines,factories,models,were,were,1,13,11,3,3
137,Silvia did n't find the cover of the pot which,Silvia did n't find the covers of the guide which [MASK],which,plural,BERT,base,BERT-base,cover,pot,guides,were,was,0,11,26,3,5
138,Someone shot the servant of the actress who,Someone shot the servants of the church who [MASK],who,plural,BERT,base,BERT-base,servant,actress,church,were,were,1,55,13,5,3
139,Suzanne sold the painting of the beach which,Suzanne sold the paintings of the painter which [MASK],which,plural,BERT,base,BERT-base,painting,beach,painter,were,were,1,11,10,3,2
140,The abbot met the father of the monk who,The abbot met the fathers of the house who [MASK],who,plural,BERT,base,BERT-base,father,monk,house,were,were,1,26,9,5,2
141,The architect exhibited the drawing of the building which,The architect exhibited the drawings of the painter which [MASK],which,plural,BERT,base,BERT-base,drawing,building,painter,were,was,0,10,12,2,3
142,The architect sketched the foyer of the mansion which,The architect sketched the foyers of the doorman which [MASK],which,plural,BERT,base,BERT-base,foyer,mansion,doorman,were,was,0,8,16,2,4
143,The attorney defended the client of the realtor who,The attorney defended the clients of the company who [MASK],who,plural,BERT,base,BERT-base,client,realtor,company,were,were,1,40,9,5,2
144,The bartender served the cousin of the actor who,The bartender served the cousins of the house who [MASK],who,plural,BERT,base,BERT-base,cousin,actor,house,were,was,0,11,12,3,3
145,The boss visited the uncle of the merchant who,The boss visited the uncles of the palace who [MASK],who,plural,BERT,base,BERT-base,uncle,merchant,palace,were,were,1,13,9,3,2
146,The boy climbed the fence of the house which,The boy climbed the fences of the neighbor which [MASK],which,plural,BERT,base,BERT-base,fence,house,neighbor,were,was,0,11,19,3,4
147,The boys laughed at the grandmother of the girl who,The boys laughed at the grandmothers of the house who [MASK],who,plural,BERT,base,BERT-base,grandmother,girl,house,were,were,1,16,11,4,3
148,The boys poked fun at the nephew of the teacher who,The boys poked fun at the nephews of the palace who [MASK],who,plural,BERT,base,BERT-base,nephew,teacher,palace,were,were,1,16,10,4,2
149,The boys poked fun at the niece of the teacher who,The boys poked fun at the writers of the poem who [MASK],who,plural,BERT,base,BERT-base,writer,teacher,poem,were,were,1,27,16,5,4
150,The brokers sold the stocks of the fund which,The brokers sold the stocks of the cashier which [MASK],which,plural,BERT,base,BERT-base,stocks,fund,cashiers,were,was,0,7,12,2,3
