id,original_sentence,transformed_sentence,relative_pronoun,number,N1,N2,exchanged_N2
274,The mayor talked with the widower of the fisherman who,The mayor talked with the widower of the mansions who was,who,singular,widower,fisherman,mansion
275,The mechanics were modifying the car of the driver which   ,The mechanics were modifying the car of the drivers which was,which,singular,car,driver,driver
276,The millionaire was shown the house of the pool which,The millionaire was shown the house of the neighbors which was,which,singular,house,pool,neighbor
277,The newspaper wrote a story about the uncle of the milkman who,The newspaper wrote a story about the uncle of the palaces who was,who,singular,uncle,milkman,palace
278,The nurse bumped into the visitor of the patient who,The nurse bumped into the visitor of the hotels who was,who,singular,visitor,patient,hotel
279,The nurse took the syrup of the patient which   ,The nurse took the syrup of the cooks which was,which,singular,syrup,patient,cook
280,The nurse trusted the doctor of the teacher who,The nurse trusted the doctor of the hospitals who was,who,singular,doctor,teacher,hospital
281,The old lady was observing the toy of the baby which   ,The old lady was observing the toy of the toddlers which was,which,singular,toy,baby,toddlers
282,The patient stained with blood the notebook of the doctor which   ,The patient stained with blood the notebook of the guides which was,which,singular,notebook,doctor,guides
283,The peasant was gazing at the luggage of the wanderer which   ,The peasant was gazing at the luggage of the travelers which was,which,singular,luggage,wanderer,travelers
284,The people watched the box of the soldier which   ,The people watched the box of the cleaners which was,which,singular,box,soldier,cleaner
285,The personal manager was observing the secretary of the accountants who,The personal manager was observing the secretary of the offices who was,who,singular,secretary,accountants,office
286,The photographer ignored the ministers of the president who,The photographer ignored the minister of the conferences who was,who,singular,ministers,president,conference
287,The photographer liked the artists of the models who,The photographer liked the artist of the songs who was,who,singular,artists,models,songs
288,The pilot was looking at the airport through the window of the plane which,The pilot was looking at the airport through the window of the doormen which was,which,singular,window,plane,doorman
289,The plumber adjusted the pipe of the sinks which,The plumber adjusted the pipe of the cleaners which was,which,singular,pipe,sinks,cleaner
290,The plumber suggested to us to change the faucet of the sink which,The plumber suggested to us to change the faucet of the cleaners which was,which,singular,faucet,sink,cleaner
291,The police arrested the brother of the porter who,The police arrested the brother of the houses who was,who,singular,brother,porter,house
292,The police arrested the chauffeur of the actor who,The police arrested the chauffeur of the limousines who was,who,singular,chauffeur,actor,limousine
293,The police arrested the cousin of the painter who,The police arrested the cousin of the houses who was,who,singular,cousin,painter,house
294,The police arrested the maiden of the marquis who,The police arrested the maiden of the crowns who was,who,singular,maiden,marquis,crown
295,The police arrested the servant of the marquis who,The police arrested the servant of the churches who was,who,singular,servant,marquis,church
296,The police arrested the sister of the nurse who,The police arrested the sister of the houses who was,who,singular,sister,nurse,house
298,The policeman arrested the supervisor of the bodyguards who,The policeman arrested the supervisor of the offices who was,who,singular,supervisor,bodyguards,office
299,The postman approached the secretary of the manager who,The postman approached the secretary of the offices who was,who,singular,secretary,manager,office
300,The professor frowned at the technician of the physician who,The professor frowned at the technician of the laboratories who was,who,singular,technician,physician,laboratory
302,The professor read the book of the student which   ,The professor read the book of the authors which was,which,singular,book,student,author
303,The professor read the review of the poem which,The professor read the review of the guides which was,which,singular,review,poem,guides
304,The publisher hated the executive of the economist who,The publisher hated the executive of the companies who was,who,singular,executive,economist,company
305,The publisher rejected the cover of the book which,The publisher rejected the cover of the illustrators which was,which,singular,cover,book,illustrator
306,The publisher smiled at the illustrator of the poet who,The publisher smiled at the illustrator of the sculptures who was,who,singular,illustrator,poet,sculpture
308,The pupil teased the son of the teacher who,The pupil teased the son of the houses who was,who,singular,son,teacher,house
309,The rain wet the hammock of the priest which   ,The rain wet the hammock of the toddlers which was,which,singular,hammock,priest,toddlers
310,The receptionist greeted the client of the lawyers who,The receptionist greeted the client of the companies who was,who,singular,client,lawyers,company
311,The red cross took the luggage of the refugees which   ,The red cross took the luggage of the travelers which was,which,singular,luggage,refugees,travelers
312,The reporter filmed the arms of the rebels which   ,The reporter filmed the arm of the bodyguards which was,which,singular,arms,rebels,bodyguards
313,The reporter phoned the boss of the secretary who,The reporter phoned the boss of the clubs who was,who,singular,boss,secretary,club
314,The reporter questioned the coach of the gymnast who,The reporter questioned the coach of the teams who was,who,singular,coach,gymnast,team
315,The reporter watched the lawyers of the criminals who,The reporter watched the lawyer of the offices who was,who,singular,lawyers,criminals,office
316,The reporters interviewed the attorney of the defendant who,The reporters interviewed the attorney of the offices who was,who,singular,attorney,defendant,office
317,The restaurant owner motioned to the waitress of the woman who,The restaurant owner motioned to the waitress of the hotels who was,who,singular,waitress,woman,hotel
318,The rumours accused the brother of the banker who,The rumours accused the brother of the houses who was,who,singular,brother,banker,house
319,The sculptor finished the base of the statue which,The sculptor finished the base of the mechanics which was,which,singular,base,statue,mechanic
320,The secretary saw the driver of the manager who,The secretary saw the driver of the motorbikes who was,who,singular,driver,manager,motorbikes
321,The servant contemplated the show of the guest which   ,The servant contemplated the show of the celebrities which was,which,singular,show,guest,celebrity
322,The singer called the sister of the groom who,The singer called the sister of the houses who was,who,singular,sister,groom,house
323,The sponsor met the coach of the player who,The sponsor met the coach of the teams who was,who,singular,coach,player,team
324,The student met the colleague of the professor who,The student met the colleague of the universities who was,who,singular,colleague,professor,university
325,The student photographed the fan of the actress who,The student photographed the fan of the movies who was,who,singular,fan,actress,movie
326,The supplier liked the employee of the gardener who,The supplier liked the employee of the companies who was,who,singular,employee,gardener,company
327,The teacher was talking with the relative of the boy who,The teacher was talking with the relative of the laboratories who was,who,singular,relative,boy,laboratory
328,The teenagers spied on the niece of the teacher who,The teenagers spied on the writer of the poems who was,who,singular,writer,teacher,poem
329,The tenant greeted the grandfather of the caretaker who,The tenant greeted the grandfather of the houses who was,who,singular,grandfather,caretaker,house
330,The terrorists kidnapped the granddaughter of the steward who,The terrorists kidnapped the granddaughter of the houses who was,who,singular,granddaughter,steward,house
331,The therapist treated the patient of the nurse who,The therapist treated the patient of the hospitals who was,who,singular,patient,nurse,hospital
332,The thief hit the technician of the dentist who,The thief hit the technician of the laboratories who was,who,singular,technician,dentist,laboratory
333,The thief took the key of the trunks which,The thief took the key of the guides which was,which,singular,key,trunks,guides
334,The tourist disliked the roof of the church which,The tourist disliked the roof of the neighbors which was,which,singular,roof,church,neighbor
335,The tourist made a sketch of the grandson of the peasant who,The tourist made a sketch of the grandson of the house who was,who,singular,grandson,peasant,house
336,The tourist photographed the mule of the peasant who,The tourist photographed the driver of the motorbikes who was,who,singular,driver,peasant,motorbikes 
337,The tourists admired the museum of the city which,The tourists admired the museum of the visitors which was,which,singular,museum,city,visitor
338,The visitor toured the garden of the palace which,The visitor toured the garden of the gardeners which was,which,singular,garden,palace,gardener
339,The waiter watched the cousin of the tourist who,The waiter watched the cousin of the houses who was,who,singular,cousin,tourist,house
340,The wind blow the canvas of the sailor which   ,The wind blow the canvas of the painters which was,which,singular,canvas,sailor,painter
341,The woman blamed the apprentice of the hairdresser who,The woman blamed the apprentice of the colleges who was,who,singular,apprentice,hairdresser,college
342,The woman blamed the hairdresser of the apprentices who,The woman blamed the hairdresser of the salons who was,who,singular,hairdresser,apprentices,salon
343,The woman carpenters the shelf of the bedroom which,The woman carpenters the shelf of the cleaners which was,which,singular,shelf,bedroom,cleaner
344,The woman caught the attention of the publicist of the artists who,The woman caught the attention of the publicist of the cities who was,who,singular,publicist,artists,city
345,The woman closes the window of the bathroom which,The woman closes the window of the doormen which was,which,singular,window,bathroom,doorman
346,The woman cuts the rosebush of the garden which,The woman cuts the rosebush of the gardeners which was,which,singular,rosebush,garden,gardener
347,The woman decorates the cabinet of the room which,The woman decorates the cabinet of the ministers which was,which,singular,cabinet,room,ministers
348,The woman decorates the lobby of the factory which,The woman decorates the lobby of the doormen which was,which,singular,lobby,factory,doorman
349,The woman delivers the flowers of the parcels  which,The woman delivers the flower of the florists which was,which,singular,flowers,parcels,florist
350,The woman disinfects the pillow of the couch which,The woman disinfects the pillow of the toddlers which was,which,singular,pillow,couch,toddlers
351,The woman draws the apples of the bananas which,The woman draws the apple of the cooks which was,which,singular,apples,bananas,cook
352,The woman dusts the frames of the lamps  which,The woman dusts the frame of the models which was,which,singular,frames,lamps,models
353,The woman empties the register of the shop which,The woman empties the register of the accountants which was,which,singular,register,shop,accountants
354,The woman engraves the head of the bed which,The woman engraves the head of the headmasters which was,which,singular,head,bed,headmaster
355,The woman exchanges the bulbs of the lamps which,The woman exchanges the bulbs of the cleaners which was,which,singular,bulbs,lamps,cleaner
356,The woman fastens the ropes of the hammocks which,The woman fastens the rope of the tramps which was,which,singular,ropes,hammocks,tramp
357,The woman feeds the dogs of the cats  which,The woman feeds the dog of the toddlers which was,which,singular,dogs,cats,toddlers
358,The woman films the loudspeakers of the stereo which,The woman films the loudspeaker of the models which was,which,singular,loudspeakers,stereo,models
359,The woman installs the heater of the laundry which,The woman installs the heater of the cleaners which was,which,singular,heater,laundry,cleaner
360,The woman irons the shirts of the skirts  which,The woman irons the shirt of the cheerleaders which was,which,singular,shirts,skirts,cheerleaders
361,The woman knew the photographer of the singer who,The woman knew the photographer of the sculptures who was,who,singular,photographer,singer,sculpture
363,The woman lists the cars of the motorbikes  which,The woman lists the car of the drivers which was,which,singular,cars,motorbikes,driver
364,The woman looked at the supervisor of the clerks who,The woman looked at the supervisor of the offices who was,who,singular,supervisor,clerks,office
365,The woman observes the monitor of the computer which,The woman observes the monitor of the detectives which was,which,singular,monitor,computer,detectives
366,The woman opens the drawer of the dresser which,The woman opens the drawer of the cleaners which was,which,singular,drawer,dresser,cleaner
367,The woman patches the sleeve of the suit which,The woman patches the sleeve of the grooms which was,which,singular,sleeve,suit,groom
368,The woman photographs the statues of the garden  which,The woman photographs the statue of the soldiers which was,which,singular,statues,garden,soldiers
369,The woman polishes the knob of the cage which,The woman polishes the knob of the cleaners which was,which,singular,knob,cage,cleaner
370,The woman presents the mugs of the plates  which,The woman presents the mug of the toddlers which was,which,singular,mugs,plates,toddlers
371,The woman rakes the leafs of the bushes which,The woman rakes the garden of the colonels which was,which,singular,graden,bushes,colonels
372,The woman removes the leash of the cat which,The woman removes the shirt of the children which was,which,singular,shirt ,cat,child
373,The woman repairs the clocks of the scales  which,The woman repairs the clock of the models which was,which,singular,clocks,scales,models
374,The woman scratches the roof of the dollhouse which,The woman scratches the roof of the neighbors which was,which,singular,roof,dollhouse,neighbor
375,The woman searches the showcase of the shelf which,The woman searches the showcase of the celebrities which was,which,singular,showcase,shelf,celebrity
376,The woman shifts the bench of the garage which,The woman shifts the bench of the players which was,which,singular,bench,garage,player
377,The woman smashes the pane of the limousine which,The woman smashes the pane of the drivers which was,which,singular,pane,limousine,driver
378,The woman wallpapers the wall of the kitchen which,The woman wallpapers the wall of the doormen which was,which,singular,wall,kitchen,doorman
379,The woman watched the maids of the princess who,The woman watched the maid of the palaces who was,who,singular,maids,princess,palace
380,The woman watches the birds of the butterflies  which,The woman watches the bird of the tourists which was,which,singular,birds,butterflies,tourists
381,The woman waters the box of the balcony which,The woman waters the flower of the cleaners which was,which,singular,flower ,balcony,cleaner
382,The woman waters the plants of the roses  which,The woman waters the plant of the gardeners which was,which,singular,plants,roses,gardener
383,The young girl favored the driver of the player who,The young girl favored the driver of the motorbikes who was,who,singular,driver,player,motorbikes
384,The young girl favored the player of the driver who,The young girl favored the player of the teams who was,who,singular,player,driver,team
385,The young man noticed the singers of the guitarists who,The young man noticed the singer of the songs who was,who,singular,singers,guitarists,songs
386,This afternoon I have seen the nurse of the doctor who,This afternoon I have seen the nurse of the hospitals who was,who,singular,nurse,doctor,hospital
387,This afternoon I saw the nurse of the doctor who,This afternoon I saw the nurse of the hospitals who was,who,singular,nurse,doctor,hospital
388,This afternoon I saw the son of the doctor who,This afternoon I saw the son of the houses who was,who,singular,son,doctor,house
389,This morning I met the aunt of the mechanic who,This morning I met the aunt of the houses who was,who,singular,aunt,mechanic,house
390,Tina knows the doctors of the supermodel who,Tina knows the doctor of the hospitals who was,who,singular,doctors,supermodel,hospital
391,Tina met the gardeners of the millionaire who,Tina met the gardener of the gardens who was,who,singular,gardeners,millionaire,garden
392,Tomorrow I have a date with the advisor of the attorney who,Tomorrow I have a date with the advisor of the offices who was,who,singular,advisor,attorney,office
393,Tracy chatted with the bodyguards of the celebrity who,Tracy chatted with the bodyguard of the palaces who was,who,singular,bodyguards,celebrity,palace
394,We borrowed the car of the neighbor which   ,We borrowed the car of the drivers which was,which,singular,car,neighbor,driver
395,We have to paint the handlebar of the bicycle which,We have to paint the handlebar of the drivers which was,which,singular,handlebar,bicycle,driver
396,We were worried about the grandmother of the babysitter who,We were worried about the grandmother of the houses who was,who,singular,grandmother,babysitter,house
397,Yesterday I dropped the tray of the perfume which,Yesterday I dropped the tray of the cooks which was,which,singular,tray,perfume,cook
398,Yesterday I met the friend of the councillor who,Yesterday I met the friend of the houses who was,who,singular,friend,councillor,house
399,Yesterday I met with the girlfriend of the councillor who,Yesterday I met with the girlfriend of the weddings who was,who,singular,girlfriend,councillor,wedding
400,Yesterday I saw the consultant of the director who,Yesterday I saw the consultant of the companies who was,who,singular,consultant,director,company
401,Zack recognized the daughter of the shopkeepers who,Zack recognized the daughter of the houses who was,who,singular,daughter,shopkeepers,house
0,A client looked at the clerk of the solicitor who,A client looked at the clerks of the office who were,who,plural,clerk,solicitor,office
1,A client noticed the hairdresser of the actress who,A client noticed the hairdressers of the salon who were,who,plural,hairdresser,actress,salon
2,A customer frowned at the assistant of the pharmacist who,A customer frowned at the assistants of the laboratory who were,who,plural,assistant,pharmacist,laboratory
3,A fan looked at the guitarist of the singer who,A fan looked at the guitarists of the band who were,who,plural,guitarist,singer,band
4,A man asked for the apprentice of the builder who,A man asked for the apprentices of the college who were,who,plural,apprentice,builder,college
5,A man called to the guide of the traveler who,A man called to the guides of the book who were,who,plural,guide,traveler,book
6,A man observed the barrister of the criminal who,A man observed the barristers of the office who were,who,plural,barrister,criminal,office
7,A nurse smiled at the psychiatrist of the patient who,A nurse smiled at the psychiatrists of the hospital who were,who,plural,psychiatrist,patient,hospital
8,A registered letter came for the landlord of the businessman who,A registered letter came for the landlords of the house who were,who,plural,landlord,businessman,house
9,A reporter interviewed the bodyguard of the prince who,A reporter interviewed the bodyguards of the palace who were,who,plural,bodyguard,prince,palace
10,A strange woman called to the travelers of the guides who,A strange woman called to the travelers of the hotel who were,who,plural,travelers,guides,hotel
11,A student stared at the friend of the lawyer who,A student stared at the friends of the house who were,who,plural,friend,lawyer,house
13,A student stared at the secretary of the teacher who,A student stared at the secretaries of the office who were,who,plural,secretary,teacher,office
14,A thief was keeping an eye on the case of the tourist which   ,A thief was keeping an eye on the cases of the defendant which were,which,plural,case,tourist,defendant
15,A woman caught the attention of the publicist of the writer who,A woman caught the attention of the publicists of the city who were,who,plural,publicist,writer,city
16,Adam resembled the representative of the employees who,Adam resembled the representatives of the conference who were,who,plural,representative,employees,conference
17,Alan punished the accountant of the businessmen who,Alan punished the accountants of the company who were,who,plural,accountant,businessmen,company
18,Alan saw the accountant of the businessmen who,Alan saw the accountants of the company who were,who,plural,accountant,businessmen,company
19,Alice lives next to the surgeon of the soldiers who,Alice lives next to the surgeons of the hospital who were,who,plural,surgeon,soldiers,hospital
20,All of our friends liked the uncle of the student who,All of our friends liked the uncles of the palace who were,who,plural,uncle,student,palace
21,All the newspapers published the photograph of the boy which   ,All the newspapers published the photographs of the painter which were,which,plural,photograph,boy,painter
22,Alvaro was spying on the dog of the farmer which   ,Alvaro was spying on the dogs of the boy which were,which,plural,dog,farmer,boy
23,Amelia photographed the bride of the princess who,Amelia photographed the brides of the wedding who were,who,plural,bride,princess,wedding
24,Amelia was photographed with the girlfriend of the singer who,Amelia was photographed with the girlfriends of the wedding who were,who,plural,girlfriend,singer,wedding
25,Amilia exchanges letters with the cousin of the singer who,Amilia exchanges letters with the cousins of the inheritence who were,who,plural,cousin,singer,inheritence 
26,An armed robber shot the maid of the actress who,An armed robber shot the maids of the dresser who were,who,plural,maid,actress,dresser
27,Andre had dinner with the niece of the porter who,Andre had dinner with the writers of the poem who were,who,plural,writer,porter,poem
28,Andres had dinner with the niece of the doorman who,Andres was eating dinner with the writers of the poem who were,who,plural,writer,doorman,poem
29,Andrew had dinner yesterday with the nephew of the teachers who,Andrew had dinner yesterday with the nephews of the palace who were,who,plural,nephew,teachers,palace
30,Andrew had dinner yesterday with the niece of the porter who,Andrew ate yesterday with the writers of the poem who were,who,plural,writer,porter,poem
31,Andrew was speaking with the niece of the cleaner who,Andrew was speaking with the writers of the poem who were,who,plural,writer,cleaner,poem
32,Angela gossiped with the secretary of the lawyers who,Angela gossiped with the secretaries of the office who were,who,plural,secretary,lawyers,office
33,Anna studied with the chef of the aristocrats who,Anna studied with the chefs of the office who were,who,plural,chef,aristocrats,office
34,Ben interviewed the companion of the basketball player who,Ben interviewed the companions of the company who were,who,plural,companion,player,company
35,Beth babysits the children of the musician who,Beth babysits the children of the school who were,who,plural,children,musician,school
36,Bill congratulated the teacher of the secondgraders who,Bill congratulated the teachers of the school who were,who,plural,teacher,secondgraders,school
37,Bill visited the teacher of the secondgraders who,Bill visited the teachers of the school who were,who,plural,teacher,secondgraders,school
38,Billy threw away his chance to become the assistant of the tailor who,Billy threw away his chance to become the assistants of the laboratory who were,who,plural,assistant,tailor,laboratory
39,Birds wo n't be able to nest in the branch of the tree which,Birds won't be able to nest in the gardens of the superintendent which were,which,plural,garden,tree,superintendent
40,Bob greeted the leader of the activists who,Bob greeted the leaders of the party who were,who,plural,leader,activists,party
41,Brian visited the associates of the businessman who,Brian visited the associates of the laboratory who were,who,plural,associates,businessman,laboratory
42,Candice talked to the leader of the activists who,Candice talked to the leaders of the party who were,who,plural,leader,activists,party
43,Carl works with the agent of the rockstars who,Carl works with the agents of the company who were,who,plural,agent,rockstars,company
44,Casey looks like the father of the students who,Casey looks like the fathers of the house who were,who,plural,father,students,house
45,Charles liked the portrait of the woman which   ,Charles liked the portraits of the painter which were,which,plural,portrait,woman,painter
46,Charlie met the interpreter of the ambassador who,Charlie met the interpreters of the laboratory who were,who,plural,interpreter,ambassador,laboratory
47,Craig inspected the servants of the dictator who,Craig inspected the servants of the house who were,who,plural,servants,dictator,house
48,During the meeting the chief of protocol tried to talk to the translator of the ambassador who,During the meeting the chiefs of protocol tried to talk to the translators of the city who were,who,plural,chieftranslator,ambassador,city
49,Emily angered the brother of the visitor who,Emily angered the brothers of the house who were,who,plural,brother,visitor,house
50,Emily waited with the nieces of the florist who,Emily waited with the writers of the poem who were,who,plural,writer,florist,poems
51,Everybody ignored the stepfather of the monk who,Everybody ignored the stepfathers of the house who were,who,plural,stepfather,monk,house
52,Everybody in the office felt sorry about the death of the nephew of the director who,Everybody in the office felt sorry about the deaths of the nephews of the inheritence who were,who,plural,deathnephew,director,inheritence 
53,Everyone knows the agent of the author who,Everyone knows the agents of the company who were,who,plural,agent,author,company
54,Frank complimented the guests of the bride who,Frank complimented the guests of the hotel who were,who,plural,guests,bride,hotel
55,Frank met the guests of the bride who,Frank met the guests of the hotel who were,who,plural,guests,bride,hotel
56,Frank talked to the servants of the dictator who,Frank talked to the servants of the house who were,who,plural,servants,dictator,house
57,Friends liked the uncle of the surgeon who,Friends liked the uncles of the palace who were,who,plural,uncle,surgeon,palace
58,George interviewed the representative of the employees who,George interviewed the representatives of the conference who were,who,plural,representative,employees,conference
59,George was stroking the cat of the girl which   ,George was stroking the cats of the boy which were,which,plural,cat,girl,boy
60,Greg smiles at the secretaries of the lawyer who,Greg smiles at the secretaries of the office who were,who,plural,secretaries,lawyer,office
61,I had to borrow the computer of the secretary which   ,I had to borrow the computers of the mechanic which were,which,plural,computer,secretary,mechanic
62,I really liked the preface of the book which,I really liked the prefaces of the author which were,which,plural,preface,book,author
63,I wanted to take the radio of the loudspeaker which,I wanted to take the radios of the host which were,which,plural,radio,loudspeaker,host
64,I was surprised by the etching of the sculpture which,I was surprised by the etchings of the painter which were,which,plural,etching,sculpture,painter
65,I was talking to the apprentice of the tailor who,I was talking to the apprentices of the college who were,who,plural,apprentice,tailor,college
66,I was told the masseur of the skater who,I was told the masseurs of the salon who were,who,plural,masseur,skater,salon
67,I watched the fans of the singers who,I watched the fans of the club who were,who,plural,fans,singers,club
68,In the meeting they showed us the label of the bottle which,In the meeting they showed us the labels of the artist which were,which,plural,label,bottle,artists
69,It was agreed to move the computer of the screen which,It was agreed to move the computers of the mechanic which were,which,plural,computer,screen,mechanic
70,Ivana met the son of the delegates who,Ivana met the sons of the house who were,who,plural,son,delegates,house
71,Janet worked as the chauffeur of the actor who,Janet worked as the chauffeurs of the limousine who were,who,plural,chauffeur,actor,limousine
72,Jared noticed the friends of the athlete who,Jared noticed the friends of the wedding who were,who,plural,friends,athlete,wedding
73,Jenny joked with the maid of the executives who,Jenny joked with the maids of the palace who were,who,plural,maid,executives,palace
74,Jessica worked with the doctors of the supermodel who,Jessica worked with the doctors of the hospital who were,who,plural,doctors,supermodel,hospital
75,Jill started out as the consultant of the director who,Jill started out as the consultants of the company who were,who,plural,consultant,director,company
76,Joe ran into the brothers of the athlete who,Joe ran into the brothers of the house who were,who,plural,brothers,athlete,house
77,Joel hires the bodyguards of the celebrity who,Joel hires the bodyguards of the palace who were,who,plural,bodyguards,celebrity,palace
78,John despised the chauffeur of the millionaire who,John despised the chauffeurs of the limousine who were,who,plural,chauffeur,millionaire,limousine
79,John liked the mechanic of the officer who,John liked the mechanics of the factory who were,who,plural,mechanic,officer,factory
80,John lived next to the teacher of the secondgraders who,John lived next to the teachers of the school who were,who,plural,teacher,secondgraders,school
81,John met the friend of the teacher who,John met the friends of the house who were,who,plural,friend,teacher,house
82,John smashed the car of the company which,John smashed the cars of the driver which were,which,plural,car,company,driver
83,John was hired as the assistant of the inspector who,John was hired as the assistants of the laboratory who were,who,plural,assistant,inspector,laboratory
84,Julia had spoken to the secretary of the lawyers who,Julia had spoken to the secretaries of the office who were,who,plural,secretary,lawyers,office
85,Justin carpools with the cousins of the accountant who,Justin carpools with the cousins of the house who were,who,plural,cousins,accountant,house
86,Kathy excelled as the secretary of the manager who,Kathy excelled as the secretaries of the office who were,who,plural,secretary,manager,office
87,Ken videotaped the assistants of the CEO who,Ken videotaped the assistants of the laboratory who were,who,plural,assistants,CEO,laboratory
88,Kevin counted the fans of the singer who,Kevin counted the fans of the club who were,who,plural,fans,singer,club
89,Laura knows the manager of the cashiers who,Laura knows the managers of the team who were,who,plural,manager,cashiers,team
90,Laura lost the notebook of the sticker which,Laura lost the notebooks of the guide which were,which,plural,notebook,sticker,guides
91,Leslie is the translator of the ambassador who,Leslie is the translators of the book who were,who,plural,translator,ambassador,book
92,Lewis ran over the carriage of the fruiterer which   ,Lewis ran over the carriages of the bridegroom which were,which,plural,carriage,fruiterer,bridegroom
93,Lewis ran over the dog of the fruiterer which   ,Lewis ran over the dogs of the boy which were,which,plural,dog,fruiterer,boy
94,Linda wrote to the the manager of the assistants who,Linda wrote to the the managers of the team who were,who,plural,manager,assistants,team
95,Louise recognized the surgeon of the star who,Louise recognized the surgeons of the hospital who were,who,plural,surgeon,star,hospital
96,Luis recognized the landlady of the actors who,Luis recognized the landladies of the house who were,who,plural,landlady,actors,house
97,Marcie as happy as the nurse of the surgeon who,Marcie as happy as the nurses of the hospital who were,who,plural,nurse,surgeon,hospital
98,Maria knows the assistant of the politician who,Maria knows the assistants of the laboratory who were,who,plural,assistant,politician,laboratory
99,Maria loved the gardener of the executive who,Maria loved the gardeners of the garden who were,who,plural,gardener,executive,garden
100,Marta was wearing the sunhat of the scarf which,Marta was wearing the sunhats of the delegate which were,which,plural,sunhat,scarf,delegates
101,Martha cheered the brother of the priest who,Martha cheered the brothers of the house who were,who,plural,brother,priest,house
102,Mary argued with the cousin of the milkman who,Mary argued with the cousins of the inheritence who were,who,plural,cousin,milkman,inheritence 
103,Mary greeted the brother of the minister who,Mary greeted the brothers of the house who were,who,plural,brother,minister,house
104,Mary replaced the wire of the amplifiers which,Mary replaced the wires of the mechanic which were,which,plural,wire,amplifiers,mechanic
105,Mary went to the cinema with the son of the milkman who,Mary went to the cinema with the sons of the house who were,who,plural,son,milkman,house
106,Melissa babysits the children of the musician who,Melissa babysits the children of the school who were,who,plural,children,musician,school
107,Melissa dislikes the girls of the neighbor who,Melissa dislikes the girls of the school who were,who,plural,girls,neighbor,school
108,Melissa watches the girls of the neighbor who,Melissa watches the girls of the school who were,who,plural,girls,neighbor,school
109,Most of the patients liked the nurse of the surgeon who,Most of the patients liked the nurses of the hospital who were,who,plural,nurse,surgeon,hospital
110,Mr. Johnson visited the servant of the actress who,Mr. Johnson visited the servants of the church who were,who,plural,servant,actress,church
111,Mr. Miller ignored the student of the chemist who,Mr. Miller ignored the students of the university who were,who,plural,student,chemist,university
112,My brother liked listening to the recording of the songs which,My brother liked listening to the recordings of the musician which were,which,plural,recording,songs,musician
113,My farther visited the quarters of the soldiers which   ,My farther visited the quarters of the soldier which were,which,plural,quarters,soldiers,soldiers
114,My friend met the aide of the detectives who,My friend met the aides of the office who were,who,plural,aide,detectives,office
115,My mother argued with the maid of the duchess who,My mother argued with the maids of the palace who were,who,plural,maid,duchess,palace
116,My mother argued with the servant of the duchess who,My mother argued with the servants of the church who were,who,plural,servant,duchess,church
117,Nick stood near the captain of the sailors who,Nick stood near the captains of the team who were,who,plural,captain,sailors,team
118,Nobody noticed the bodyguard of the ambassadors who,Nobody noticed the bodyguards of the palace who were,who,plural,bodyguard,ambassadors,palace
119,On the shelf I keep the box of the cover which,On the shelf I keep the boxes of the cleaner which were,which,plural,box,cover,cleaner
120,Patricia saw the the teacher of the students who,Patricia saw the the teachers of the school who were,who,plural,teacher,students,school
121,Paul listens to the coach of the cheerleaders who,Paul listens to the coaches of the team who were,who,plural,coach,cheerleaders,team
122,Peter had a good time with the sister of the girl who,Peter had a good time with the sisters of the house who were,who,plural,sister,girl,house
123,Peter met the boyfriend of the host who,Peter met the boyfriends of the wedding who were,who,plural,boyfriend,host,wedding
124,Peter met the friend of the teacher who,Peter met the friends of the house who were,who,plural,friend,teacher,house
125,Peter was looking at the book of the girl which   ,Peter was looking at the books of the author which were,which,plural,book,girl,author
126,Peter went to a concert yesterday with the mother of the countess who,Peter went to a concert yesterday with the mothers of the house who were,who,plural,mother,countess,house
127,Rita failed as the advisor of the assistant who,Rita failed as the advisors of the office who were,who,plural,advisor,assistant,office
128,Robert yelled at the friend of the artist who,Robert yelled at the friends of the neighborhood who were,who,plural,friend,artist,neighborhood
129,Roxanne read the review of the poems which,Roxanne read the reviews of the guide which were,which,plural,review,poems,guides
130,Ryan resembles the captain of the sailors who,Ryan resembles the captains of the team who were,who,plural,captain,sailors,team
131,Samuel was not content as the masseur of the skater who,Samuel was not content as the masseurs of the salon who were,who,plural,masseur,skater,salon
132,Sandra chatted with the gardeners of the millionaire who,Sandra chatted with the gardeners of the garden who were,who,plural,gardeners,millionaire,garden
133,Sara did the painting of the cove which,Sara did the paintings of the painter which were,which,plural,painting,cove,painter
134,Sarah jogs with the uncle of the toddlers who,Sarah jogs with the uncles of the palace who were,who,plural,uncle,toddlers,palace
135,Scott counted the fans of the singer who,Scott counted the fans of the club who were,who,plural,fans,singer,club
136,Several men moved the machines of the factories which,Several men moved the machines of the model which were,which,plural,machines,factories,models
137,Silvia did n't find the cover of the pot which,Silvia did n't find the covers of the guide which were,which,plural,cover,pot,guides
138,Someone shot the servant of the actress who,Someone shot the servants of the church who were,who,plural,servant,actress,church
139,Suzanne sold the painting of the beach which,Suzanne sold the paintings of the painter which were,which,plural,painting,beach,painter
140,The abbot met the father of the monk who,The abbot met the fathers of the house who were,who,plural,father,monk,house
141,The architect exhibited the drawing of the building which,The architect exhibited the drawings of the painter which were,which,plural,drawing,building,painter
142,The architect sketched the foyer of the mansion which,The architect sketched the foyers of the doorman which were,which,plural,foyer,mansion,doorman
143,The attorney defended the client of the realtor who,The attorney defended the clients of the company who were,who,plural,client,realtor,company
